title,artist,genre,highest_note
 좋은날,아이유,K-POP,E5
8282,다비치,K-POP,D#5
ASAP,스테이씨,K-POP,G#4
CHEER UP,트와이스,K-POP,A4
Ditto,뉴진스,K-POP,A4
Gee,소녀시대,K-POP,B4
Get A Guitar,라이즈,K-POP,G#4
Girls,에스파,K-POP,C#5
Hot,세븐틴,K-POP,A4
I AM,IVE(아이브),K-POP,G5
Love Dive,아이브,K-POP,A4
Love Shot,엑소,K-POP,G#4
Maniac,스트레이 키즈,K-POP,G#4
Mr. Chu,에이핑크,K-POP,F4
Next Level,에스파,K-POP,G#4
One and Only,보이넥스트도어,K-POP,G4
Palette,아이유,K-POP,A4
Ring Ding Dong,샤이니,K-POP,G#4
Savage,에스파,K-POP,D#5
Tears,소찬휘,K-POP,G5
Thirsty,에스파,K-POP,G#4
TT,트와이스,K-POP,A4
WANNABE,있지 (ITZY),K-POP,A4
거짓말,빅뱅,K-POP,G4
나는아픈건딱질색이니까,(여자)아이들,K-POP,C5
너랑 나,아이유,K-POP,C5
다시만난세계,소녀시대,K-POP,E5
뚜두뚜두,블랙핑크,K-POP,A#4
라라라,SG워너비,K-POP,A4
벚꽃 엔딩,버스커 버스커,K-POP,E4
보여줄게,에일리,K-POP,C5
붉은노을,빅뱅,K-POP,C5
빨간 맛,레드벨벳,K-POP,G4
아주 NICE,세븐틴,K-POP,A4
애상,쿨,K-POP,A4
으르렁,엑소,K-POP,G4
사건의지평선,윤하,K-POP,D5
"10,000 Hours","Dan+Shay,Justin Bieber",POP,A#5
2002,Anne-Marie,POP,G#5
A Thousand Years(Twilight Saga : Breaking Dawn Part 1 OST),Christina Perri,POP,C5
A Whole New World(Aladdin OST),"Mena Massoud,Naomi Scott",POP,G5
abcdefu,Gayle,POP,C#5
All I Want For Christmas Is You,Mariah Carey,POP,E5
All Of Me,John Legend,POP,A#5
Baby,Justin Bieber,POP,C5
Beautiful Things,Benson Boone,POP,F6
Because Of You,Kelly Clarkson,POP,D#5
Believer,Imagine Dragons,POP,C6
Blank Space,Taylor Swift,POP,C5
Call Me Maybe,Carly Rae Jepsen,POP,C5
Champagne Supernova,Oasis,POP,F#5
Chandelier,Sia,POP,F#5
Circles,Post Malone,POP,G5
Counting Stars,OneRepublic,POP,C#6
Creep,Radiohead,POP,B5
Cruel Summer,Taylor Swift,POP,E5
Dancing Queen,ABBA,POP,D5
Dangerously,Charlie Puth,POP,F6
Despacito,Luis Fonsi(Feat.Daddy Yankee),POP,A5
Don't look back in anger,Oasis,POP,A5
Englishman in New York,Sting,POP,A5
Flashlight(Pitch Perfect 2 OST),Jessie J,POP,G5
Fly me to the moon,Frank Sinatra,POP,G5
For The First Time In Forever(Frozen(겨울왕국) OST),"Kristen Bell,Idina Menzel",POP,G5
GHOST TOWN,Benson Boone,POP,C6
Halo,Beyonce,POP,F#5
Hello,Adele,POP,G#5
How Far I'll Go(Moana OST),Alessia Cara,POP,D5
I Don't Think That I Like Her,Charlie Puth,POP,C6
I See the Light(Tangled(라푼젤) OST),"Mandy Moore,Zachary Levi",POP,G5
I'm Not The Only One,Sam Smith,POP,C6
I'm Yours,Jason Mraz,POP,A5
If I Ain't Got You,Alicia Keys,POP,D5
In The Stars,Benson Boone,POP,D6
Into the Unknown(Frozen2(겨울왕국2) OST),"Idina Menzel,Aurora",POP,D#5
Just the two of us,Bill Withers,POP,G#5
Last Christmas,Ariana Grande,POP,B5
Lay Me Down,Sam Smith(Feat.John Legend),POP,C#6
Legends Never Die(League of Legends),Against The Current,POP,F5
Lemon tree,Fool's Garden,POP,G#4
Let It Go(Frozen(겨울왕국) OST),Idina Menzel,POP,D#5
Lost Stars(Begin Again OST),Adam Levine,POP,G6
Love On Top,Beyonce,POP,B5
Love story,Taylor Swift,POP,B4
Love Yourself,Justin Bieber,POP,B4
Marry You,Bruno Mars,POP,D5
Memories,Maroon 5,POP,G#5
My Heart Will Go On,Celine Dion,POP,D#5
Never Enough(The Greatest Showman OST),Loren Allred,POP,F5
Off My Face,Justin Bieber,POP,D#6
One Call Away,Charlie Puth,POP,C#6
Painkiller,Ruel,POP,G5
Part of your world(The little mermaid OST),Jodi Benson,POP,C5
Payphone,Maroon 5(Feat.Wiz Khalifa),POP,C#5
Perfect,Ed Sheeran,POP,G#5
Piano man,Billy Joel,POP,G5
Rolling In The Deep,Adele,POP,D5
Santa Tell Me,Ariana Grande,POP,F#5
